wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.431223474171517 37.790110842925948),2303 Sacramento St,37.790005,-122.431205,Ceratonia siliqua,Carob,"""summer",93515
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93535
POINT (-122.385007591849103 37.743975253420444),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93536
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93537
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93538
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93539
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93540
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93541
POINT (-122.38500616327768 37.743975137282199),1500 Burke Ave,37.744199,-122.3847,Ceratonia siliqua,Carob,"""summer",93542
POINT (-122.384962503680171 37.743837732577447),1525-1555 Burke Avenue,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93543
POINT (-122.384953932251605 37.743837384162717),1501 Burke Ave,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93545
POINT (-122.384945360823025 37.743837035747987),1501 Burke Ave,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93547
POINT (-122.384941075108742 37.743836861540629),1501 Burke Ave,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93548
POINT (-122.384937166251277 37.743836901793962),1501 Burke Ave,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93549
POINT (-122.384932503680176 37.743836513125899),1501 Burke Ave,37.7437674,-122.3848631,Ceratonia siliqua,Carob,"""summer",93550
POINT (-122.385704500000003 37.744244299999998),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93551
POINT (-122.385701166666664 37.744244194615298),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93552
POINT (-122.385697833333339 37.744244089230598),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93553
POINT (-122.3856945 37.744243983845891),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93554
POINT (-122.385691166666675 37.744243878461191),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93555
POINT (-122.385687833333336 37.744243773076491),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93556
POINT (-122.385684499999996 37.744243667691791),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93557
POINT (-122.385681166666672 37.744243562307084),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93558
POINT (-122.385677833333332 37.744243456922383),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93559
POINT (-122.385674500000007 37.744243351537683),1555 Burke Ave,37.7442443,-122.3857045,Ceratonia siliqua,Carob,"""summer",93560
POINT (-122.385883715711003 37.744470827197212),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93563
POINT (-122.385887049044342 37.744470932581919),1570 Burke Ave,37.744775,-122.38567,Ceratonia siliqua,Carob,"""summer",93564
