39223,Garrya elliptica,Evie silk-tassel,0,7,
39225,Geijera parviflora,Australian willow,0,341,
39226,Ginkgo biloba,Autumn Gold ginkgo,0,74,
39227,Ginkgo biloba,Fairmont ginkgo,0,93,
39228,Ginkgo biloba,Saratoga ginkgo,0,24,
39231,Gleditsia triacanthos,Shademaster honeylocust,0,1,
39234,Griselinia lucida,Griselinia,0,1,
39235,Hakea laurina,Pincushion hakea,0,13,
39236,Hakea suaveolens,Sweet hakea,0,89,
39242,Juniperus scopulorum,Pathfinder walnut,0,9,
39245,Laurus nobilis,Saratoga sweet bay,0,59,
39250,Liquidambar formosana,Formosan sweetgum,0,2,
39252,Liquidambar styraciflua,Festival sweetgum,0,8,
39253,Liquidambar styraciflua,Palo Alto sweetgum,0,6,
39255,Magnolia grandiflora,Little Gem magnolia,0,125,
39257,Magnolia grandiflora,Russet magnolia,0,59,
39258,Magnolia grandiflora,Samuel Sommer magnolia,0,20,
39259,Magnolia grandiflora,St Mary magnolia,0,23,
39265,Malus,Callaway Apple,1,13,"summer, fall"
39266,Malus,Espalier apple,1,0,"summer, fall"
39278,Maytenus boaria,Green Showers mayten,0,4,
39279,Metrosideros excelsa,New Zealand Christmas tree,0,3779,
39294,Pittosporum eugenioides,Lemonwood,0,5,
39295,Pittosporum rhombifolium,Queensland pittosporum,0,6,
39301,Platanus acerifolia,Bloodgood plane tree,0,4,
39302,Platanus acerifolia,Columbia plane tree,0,7,
39303,Platanus acerifolia,Yarwood plane tree,0,524,
39304,Platanus acerifolia,London planetree,0,3905,
39305,Podocarpus gracilior,Fern pine,0,294,
39307,Populus nigra,Lombardy poplar,0,57,
39308,Prunus blireiana,Blireiana plum,0,208,
39309,Prunus campanulata,Taiwan flowering cherry,0,25,
39310,Prunus cerasifera,Purple-leaf plum,0,126,
39312,Prunus cerasifera,Thundercloud purple-leaf  plum,0,2,
39313,Prunus domestica,Green gage plum,1,16,summer
39318,Prunus sargentii,Sargent cherry,0,1,
39319,Prunus serrulata,Amanogawa cherry,0,0,
39320,Prunus serrulata,Kwanzan cherry,0,917,
39321,Prunus serrulata,Akebono cherry,0,21,
39325,Prunus serrulata,Mt Fuji cherry,0,2,
39327,Prunus spinosa,Purpurea cherry,0,7,
39328,Prunus yedoensis,Akebono cherry,,10,
39332,Punica granatum,Wonderful pomegranate,0,2,
39335,Pyrus kawakamii,Evergreen pear,0,1103,
39336,Pyrus calleryana,Aristocrat pear,0,237,
39337,Pyrus calleryana,Autumn blaze pear,0,2,
39338,Pyrus calleryana,Capital pear,0,61,
39339,Pyrus calleryana,Chanticleer pear,0,35,
39341,Pyrus calleryana,New Bradford pear,0,79,
39342,Pyrus calleryana,Redspire pear,0,1,
39344,Pyrus pyrifolia,20th Century Chinese pear,0,13,
39348,Quercus frainetto,Trump oak,0,27,
39351,Robinia ambigua,Idaho black locust,,26,
39354,Sequoia sempervirens,Aptos blue redwood,0,4,
39356,Sequoiadendron giganteum,Festival sequoia,0,5,
39361,Ulmus parvifolia,Drake Chinese elm,0,130,
39362,Ulmus parvifolia,Sempervirens Chinese elm,0,5,
